id,location,state,file,fileSource,latitude,longitude,Tout,ToutDailyVar,ToutAnnualVar,CDD18,CDD25,radDirNorm,radDiffHoriz,windSpeedMet,elevation,CDD18study
173,Viçosa,MG,BRA_MG_Vicosa.836420_INMET.epw,INMET,-20.75,-42.88,19.99050228,9.87369863,11.51666667,1045.891667,102.7583333,62.97682648,94.86141553,0.857579909,712,914.0541667
174,Amambai,MS,BRA_MS_Amambai.868940_INMET.epw,INMET,-23,-55.33,21.93819635,12.69589041,20.06666667,1766.341667,435.2958333,88.6869863,86.97031963,2.206210046,431,1538.3125
175,Campo Grande,MS,BRA_MS_Campo.Grande.Intl.AP.868100_INMET.epw,INMET,-20.44,-54.65,23.44772831,10.48684932,19.46666667,2092.95,462.4791667,85.42545662,93.08767123,3.458150685,530,1835.525
176,Chapadão do Sul,MS,BRA_MS_Chapadao.do.Sul.867720_INMET.epw,INMET,-18.79,-52.62,22.39607306,10.11561644,16.32916667,1699.783333,280.125,88.31815068,91.50650685,2.194942922,818,1514.354167
177,Corumbá,MS,BRA_MS_Corumba.Intl.AP.835520_INMET.epw,INMET,-19.01,-57.65,25.90272831,8.962465753,22.25416667,2975.05,917.2125,95.13755708,92.75799087,2.142294521,126,2602.2875
178,Coxim,MS,BRA_MS_Coxim.867700_INMET.epw,INMET,-18.3,-54.44,24.71479452,12.32164384,16.00416667,2538.0625,714.0666667,99.62020548,90.51860731,1.267054795,252,2230.7875
179,Dourados,MS,BRA_MS_Dourados.836590_INMET.epw,INMET,-22.22,-54.81,22.68562785,10.75808219,20.21666667,1899.233333,413.9625,89.18527397,88.16221461,2.451381279,469,1647.2
180,Ivinhema,MS,BRA_MS_Ivinhema.868600_INMET.epw,INMET,-22.31,-53.81,23.6878653,10.38986301,20.59166667,2212.220833,523.0666667,91.87956621,89.40148402,2.837625571,373,1905.666667
181,Juti,MS,BRA_MS_Juti.868590_INMET.epw,INMET,-22.86,-54.61,22.88667808,10.83808219,22.19583333,2024.391667,489.775,72.14143836,90.13607306,0.363002283,379,1790.683333
182,Miranda,MS,BRA_MS_Miranda.868070_INMET.epw,INMET,-20.24,-56.38,24.61140411,12.31013699,18.37083333,2570.85,779.2083333,94.14006849,90.93847032,1.243059361,140,2238.766667
183,Nhumirim,MS,BRA_MS_Nhumirim.867680_INMET.epw,INMET,-18.99,-56.62,24.88297945,11.62712329,18.725,2617.804167,771.8416667,80.21506849,95.90445205,1.735239726,104,2293.2875
184,Ponta Porã,MS,BRA_MS_Ponta.Pora.868570_INMET.epw,INMET,-22.54,-55.73,21.29077626,10.5569863,22.6125,1564.091667,309.3333333,80.57819635,89.55719178,2.557123288,650,1341.4375
185,Porto Murtinho,MS,BRA_MS_Porto.Murtinho.AP.868330_INMET.epw,INMET,-21.7,-57.88,25.43723744,11.32,25.2625,2954.15,1061.866667,90.30913242,89.72351598,2.08966895,85,2568.9
186,Rio Brilhante,MS,BRA_MS_Rio.Brilhante.868360_INMET.epw,INMET,-21.78,-54.53,23.28892694,13.55123288,20.30416667,2149.708333,605.9208333,92.94189498,88.71678082,1.692808219,329,1891.133333
187,Sete Quedas,MS,BRA_MS_Sete.Quedas.868950_INMET.epw,INMET,-23.97,-55.02,22.33676941,10.68958904,21.9,1830.579167,405.375,93.89600457,84.11894977,2.811141553,402,1587.7
188,Sidrolândia,MS,BRA_MS_Sidrolandia.868090_INMET.epw,INMET,-20.98,-54.97,23.3403653,10.60767123,22.925,2129.691667,493.6375,91.29098174,89.03789954,2.176232877,464,1878.408333
189,Três Lagoas,MS,BRA_MS_Tres.Lagoas.AP.868130_INMET.epw,INMET,-20.75,-51.68,24.35038813,11.14657534,16.7375,2402.975,621.6375,84.72853881,93.38561644,1.434429224,313,2106.1875
190,Água Boa,MT,BRA_MT_Agua.Boa.866860_INMET.epw,INMET,-14.05,-52.16,24.94936073,10.23232877,11.10416667,2546.3125,577.5625,87.15068493,97.02271689,2.201210046,432,2236.604167
191,Alto Taquari,MT,BRA_MT_Alto.Taquari.867500_INMET.epw,INMET,-17.82,-53.29,22.33688356,10.21452055,15.91666667,1654.904167,270.15,84.40844749,95.79280822,1.78130137,875,1463.0125
192,Apiacás,MT,BRA_MT_Apiacas.819760_INMET.epw,INMET,-9.54,-57.45,25.6527968,10.66246575,7.708333333,2799.2,718.6375,72.91141553,102.0018265,0.86869863,220,2486.329167
193,Campo Novo do Parecis,MT,BRA_MT_Campo.Novo.do.Parecis.866620_INMET.epw,INMET,-13.68,-57.89,24.08106164,10.44575342,14.05416667,2259.641667,485.7083333,83.12328767,98.07888128,1.508219178,570,1998.058333
194,Campo Verde,MT,BRA_MT_Campo.Verde.867070_INMET.epw,INMET,-15.55,-55.17,23.03643836,9.797260274,15.5375,1886.066667,331.2541667,76.99771689,97.04748858,2.812465753,749,1686.979167
195,Carlinda,MT,BRA_MT_Carlinda.819780_INMET.epw,INMET,-9.97,-55.83,25.495879,9.44630137,8.2625,2736.6,617.5083333,78.49303653,96.97511416,1.254863014,300,2408.2125
196,Comodoro,MT,BRA_MT_Comodoro.866610_INMET.epw,INMET,-13.66,-59.79,22.42945205,12.25232877,12.49583333,1806.975,360.675,83.54954338,98.78082192,1.563184932,591,1577.841667
197,Confresa,MT,BRA_MT_Confresa.866060_INMET.epw,INMET,-10.65,-51.57,26.1360274,10.04410959,7.779166667,2969.666667,764.4041667,85.5369863,97.47671233,1.306757991,237,2621.85
198,Cotriguaçu,MT,BRA_MT_Cotriguacu.829270_INMET.epw,INMET,-9.86,-58.41,24.623379,10.3309589,7.829166667,2432.554167,548.4958333,65.90844749,102.6679224,1.153116438,261,2158.795833
199,Cuiabá,MT,BRA_MT_Cuiaba.867050_INMET.epw,INMET,-15.62,-56,26.26649543,10.7030137,19.975,3052.7125,939.525,86.86586758,98.61015982,1.951027397,151,2668.979167
200,Gaúcha do Norte,MT,BRA_MT_Gaucha.do.Norte.866660_INMET.epw,INMET,-13.18,-53.26,25.2183105,10.88684932,8.929166667,2645.870833,667.3833333,92.05616438,97.57374429,1.354383562,379,2327.504167
201,Guarantã do Norte,MT,BRA_MT_Guaranta.do.Norte.819790_INMET.epw,INMET,-9.79,-54.91,25.04244292,10.72684932,6.820833333,2585.033333,605.1,54.61324201,107.4851598,1.593630137,320,2269.3625
202,Guiratinga,MT,BRA_MT_Guiratinga.867290_INMET.epw,INMET,-16.34,-53.77,24.69503425,11.26109589,13.73333333,2476.170833,623.3916667,77.77728311,89.82888128,1.168070776,526,2193.116667
203,Itiquira,MT,BRA_MT_Itiquira.867480_INMET.epw,INMET,-17.18,-54.5,24.02300228,9.884931507,17.9625,2269.7,465.3291667,97.47203196,89.63287671,2.631358447,585,2003.458333
